"Story","Title","Result","Date","Stability","Duration (s)"
"Realizar pagos a los beneficiarios","Pagar un monto superior al que tiene disponible la cuenta","FAILURE","08:20:52","0.0","10.99"
"Realizar pagos a los beneficiarios","Pagar un monto menor o igual al que tiene disponible la cuenta con fecha pasada","FAILURE","08:44:35","0.0","17.27"
